n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias,median_abs_error_aed,mape,project,estimator,n_properties,areas
77,7.14,11.94,17.94,5.98,5.39,6000.0,8.96,binghatti orchid,A,2,Al Barsha South Fourth
77,9.49,14.38,21.02,8.43,8.71,7656.0,10.83,binghatti orchid,B,2,Al Barsha South Fourth
77,9.49,14.38,21.02,8.43,8.7,7656.0,10.82,binghatti orchid,C,2,Al Barsha South Fourth
77,7.27,11.94,17.68,5.41,5.01,6000.0,8.84,binghatti orchid,D,2,Al Barsha South Fourth
27,7.65,16.74,26.12,6.25,8.15,6500.0,11.99,binghatti rose,A,2,Al Barsha South Fourth
27,7.59,15.44,24.77,6.54,6.96,5231.0,10.89,binghatti rose,B,2,Al Barsha South Fourth
27,7.59,15.47,25.08,6.62,7.03,5694.0,10.95,binghatti rose,C,2,Al Barsha South Fourth
27,6.94,17.0,24.43,4.62,7.14,5000.0,11.38,binghatti rose,D,2,Al Barsha South Fourth
76,19.66,25.8,38.44,17.65,13.33,20000.0,22.33,binghatti royale,A,1,Al Barsha South Fourth
76,16.14,24.87,30.4,4.69,1.95,12748.0,16.35,binghatti royale,B,1,Al Barsha South Fourth
76,16.14,24.87,30.4,4.69,1.95,12748.0,16.35,binghatti royale,C,1,Al Barsha South Fourth
76,19.66,26.85,37.94,16.67,12.61,20000.0,21.87,binghatti royale,D,1,Al Barsha South Fourth
43,7.69,12.79,23.43,5.44,6.04,5000.0,9.91,binghatti tulip,A,3,Al Barsha South Fourth
43,15.77,22.72,26.56,13.58,9.0,10329.0,16.14,binghatti tulip,B,3,Al Barsha South Fourth
43,15.55,22.72,26.56,12.6,8.97,10329.0,16.1,binghatti tulip,C,3,Al Barsha South Fourth
43,7.69,12.79,21.81,5.0,5.7,5000.0,9.85,binghatti tulip,D,3,Al Barsha South Fourth
2462,11.39,22.02,31.8,2.22,1.77,8000.0,14.69,binghatti twilight,A,2,Al Jadaf
2462,12.4,22.59,32.31,3.7,4.12,8709.0,15.4,binghatti twilight,B,2,Al Jadaf
2462,12.46,23.09,32.55,4.35,4.68,8938.0,15.62,binghatti twilight,C,2,Al Jadaf
2462,11.27,21.83,31.73,1.45,1.66,8000.0,14.65,binghatti twilight,D,2,Al Jadaf
8225,20.98,34.21,49.02,4.0,5.95,35000.0,25.32,canal front residences,A,3,Burj Khalifa
8225,22.59,38.54,58.44,12.74,15.0,38203.0,29.11,canal front residences,B,3,Burj Khalifa
8225,22.67,38.86,58.54,13.09,15.36,38859.0,29.28,canal front residences,C,3,Burj Khalifa
8225,20.44,34.21,48.86,4.0,5.56,34750.0,25.17,canal front residences,D,3,Burj Khalifa
2868,11.92,20.0,30.01,1.4,1.23,6604.0,14.82,canal residence west,A,4,Al Hebiah Fourth
2868,15.96,26.61,36.37,12.12,11.57,8720.0,19.12,canal residence west,B,4,Al Hebiah Fourth
2868,15.85,26.74,36.47,12.22,11.66,8757.0,19.16,canal residence west,C,4,Al Hebiah Fourth
2868,11.76,20.0,30.0,1.37,1.21,6654.0,14.8,canal residence west,D,4,Al Hebiah Fourth
