property_id,status,tier,rent,yield
2301,Offplan,NONE,,
4546,Offplan,NONE,,
3168,Offplan,NONE,,
3983,Offplan,NONE,,
37,Offplan,NONE,,
7464,Ready,R4,78720.0,7.72
4547,Ready,R4,86400.0,8.23
4118,Offplan,NONE,,
1662,Offplan,NONE,,
1580,Offplan,NONE,,
2728,Offplan,NONE,,
3751,Offplan,NONE,,
3661,Offplan,NONE,,
3393,Offplan,NONE,,
4636,Offplan,NONE,,
4969,Offplan,NONE,,
5349,Offplan,NONE,,
3080,Offplan,NONE,,
7937,Offplan,NONE,,
4245,Offplan,NONE,,
1535,Offplan,NONE,,
755,Offplan,NONE,,
2240,Offplan,NONE,,
1999,Offplan,NONE,,
5009,Ready,R2,76800.0,9.65
5118,Offplan,NONE,,
4639,Offplan,NONE,,
1146,Ready,R4,154028.0,3.89
7278,Ready,R4,120000.0,5.45
7111,Offplan,NONE,,
7106,Offplan,NONE,,
2054,Offplan,NONE,,
365,Ready,R3,43200.0,7.09
4558,Offplan,NONE,,
3343,Offplan,NONE,,
5264,Offplan,NONE,,
1084,Offplan,NONE,,
7315,Offplan,NONE,,
4624,Unknown,NONE,,
16,Offplan,NONE,,
557,Offplan,NONE,,
5972,Offplan,NONE,,
7548,Offplan,NONE,,
1861,Offplan,NONE,,
7988,Offplan,NONE,,
792,Offplan,NONE,,
8055,Offplan,NONE,,
3508,Ready,R4,76800.0,4.52
6069,Offplan,NONE,,
7342,Unknown,NONE,,
8369,Ready,R4,62400.0,5.67
7498,Offplan,NONE,,
2292,Offplan,NONE,,
1498,Offplan,NONE,,
3881,Offplan,NONE,,
7658,Offplan,NONE,,
664,Offplan,NONE,,
5096,Offplan,NONE,,
7244,Offplan,NONE,,
2445,Offplan,NONE,,
4042,Offplan,NONE,,
5763,Offplan,NONE,,
7516,Offplan,NONE,,
6937,Offplan,NONE,,
2962,Offplan,NONE,,
8197,Offplan,NONE,,
5337,Offplan,NONE,,
3306,Offplan,NONE,,
3371,Offplan,NONE,,
6300,Offplan,NONE,,
14,Offplan,NONE,,
373,Offplan,NONE,,
3065,Offplan,NONE,,
5617,Offplan,NONE,,
4369,Offplan,NONE,,
2177,Offplan,NONE,,
1570,Offplan,NONE,,
5815,Offplan,NONE,,
3631,Offplan,NONE,,
4990,Offplan,NONE,,
457,Offplan,NONE,,
5745,Unknown,NONE,,
2630,Offplan,NONE,,
7573,Offplan,NONE,,
2920,Offplan,NONE,,
1792,Offplan,NONE,,
1636,Offplan,NONE,,
807,Offplan,NONE,,
4241,Offplan,NONE,,
5432,Offplan,NONE,,
1817,Offplan,NONE,,
3742,Offplan,NONE,,
7656,Ready,R3,43200.0,7.19
5791,Offplan,NONE,,
2061,Ready,R4,60480.0,5.04
140,Ready,NONE,,
611,Offplan,NONE,,
906,Offplan,NONE,,
3439,Offplan,NONE,,
5937,Offplan,NONE,,
4487,Offplan,NONE,,
3603,Offplan,NONE,,
4419,Offplan,NONE,,
5602,Offplan,NONE,,
