property_id,project,area,qdrant_category,project_match_status,service_charge_status,production_eligible,failure_reason,mollak_project,mollak_community,location_parity,sc_rate_aed_sqft,sc_year,gf_rate,rf_rate,gt_rate,component_match,unit_size_sqft,annual_service_charge_aed,annual_rent_estimate_aed,income_after_service_charges_aed,master_current_price_aed,gross_rental_yield_pct,yield_after_service_charges_pct
1620,SLS Dubai Hotels and Residences,Downtown Dubai,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1864.0,,,,7462760,,
422,Golf Edge,Emaar South,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1641.0,,,,2500000,,
2838,Binghatti Rose,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1285.0,,,,1550000,,
3843,Beverly Boulevard,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,800.0,,,,866000,,
453,Aykon City Tower,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1301.0,,,,2600000,,
8066,The 100,Meydan City,بنتهاوس,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,4292.0,,,,14580000,,
6835,LIV Residence,Dubai Marina,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1764.0,,,,5500000,,
8201,Marquise Square,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,2326.0,,,,4300000,,
1913,Creek Beach Orchid,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1514.0,,,,2500000,,
601,Aura Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1107.0,,,,1950000,,
1111,Oxford Gardens,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,824.0,,,,843000,,
5113,SLS Dubai Hotels and Residences,Downtown Dubai,دوبلكس,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1163.0,,,,3465820,,
1637,Oxford Gardens,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,413.0,,,,1400000,,
6594,Creek Beach Orchid,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,679.0,,,,1700000,,
7916,Divine Living,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,2037.0,,,,1700000,,
7020,Canal Front Residences,Dubai Water Canal,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1762.0,,,,5200000,,
897,creek edge,Dubai Creek Harbour,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1591.0,,,,2800000,,
2398,Binghatti Gardenia,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1109.0,,,,1750000,,
2730,Luma21,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1144.0,,,,1200000,,
7464,Plaza Residences 1,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1209.0,,,,1020000,,
4547,Gardenia Residency,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1379.0,,,,1050000,,
5009,Divine Living,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,739.0,,,,796000,,
1146,SLS Dubai Hotels and Residences,Downtown Dubai,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1084.0,,,,3955410,,
